,a,b,c,d,rating,N
1,3,3,3,3,41.03636364,12
2,9,3,3,3,69.45454545,18
3,3,5,5,5,34.03636364,18
4,9,5,5,5,61.96363636,24
5,3,9,3,3,26.41818182,18
6,5,3,5,5,53.12727273,18
7,5,9,5,5,36.54545455,24
8,3,3,9,3,35.29090909,18
9,5,5,3,5,46.96363636,18
10,5,5,9,5,41.67272727,24
11,3,3,3,9,41.07272727,18
12,5,5,5,3,44.8,18
13,5,5,5,9,42.85454545,24
