,a,b,c,d,rating,N
1,21,9,0,30,68.29320988,60
2,24,6,10,20,65.42283951,60
3,27,3,20,10,59.50925926,60
4,28,0,0,28,90.49358974,56
5,28,0,7,21,82.34615385,56
6,28,0,14,14,77.42307692,56
7,28,0,21,7,74.17948718,56
8,30,0,18,12,70.69281046,60
9,24,6,12,18,59.53594771,60
10,12,18,0,30,39.62580645,60
11,27,3,25,5,59.7124183,60
