user_id,start_time,end_time,user_agent
43999585,2021/11/1 20:35:18,2021/11/1 20:38:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
47694107,2021/11/1 20:35:17,2021/11/1 20:38:18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.104 Safari/537.36"
